date,model,GraphicsFillPercentage,TopSheetFillPercentage,Columns,Rows,Sheets
2021-01-19,TLK,69.16666666666667,23.333333333333332,6,10,4
2021-01-19,TLAL,81.07142857142857,13.571428571428571,5,8,7
2021-01-19,TLAL,80.41666666666667,16.25,5,8,6
2021-01-19,NPAL,76.19047619047619,13.095238095238095,6,2,7
2021-01-19,NPAS,60,15,6,2,5
2021-01-19,TLAL,82.5,7.5,5,8,12
2021-01-19,TLAL,80.35714285714286,13.571428571428571,5,8,7
2021-01-19,TLAL,67.5,13.75,5,8,6
2021-01-19,TLAS,68.14814814814815,13.703703703703704,5,9,6
2021-01-19,TLAL,69.16666666666667,14.166666666666666,5,8,6
2021-01-18,TLK,53.333333333333336,17.916666666666668,6,10,4
2021-01-18,TLAL,74.28571428571429,12.5,5,8,7
2021-01-18,TLAL,70,14.166666666666666,5,8,6
2021-01-18,TLAL,87.32142857142857,6.785714285714286,5,8,14
2021-01-18,TLAL,69.58333333333333,14.166666666666666,5,8,6
2021-01-18,TLAL,75.41666666666667,15.416666666666666,5,8,6
2021-01-18,TLAS,69.62962962962963,14.074074074074074,5,9,6
2021-01-18,NPAL,60,15,6,2,5
2021-01-18,TLAL,68.75,13.75,5,8,6
2021-01-18,TLAL,67.5,13.75,5,8,6
2021-01-18,TLAL,66.66666666666667,13.333333333333334,5,8,6
2021-01-18,NPAL,68.05555555555556,13.88888888888889,6,2,6
2021-01-18,NPAL,70.83333333333333,15.277777777777779,6,2,6
2021-01-18,NPAS,61.666666666666664,16.666666666666668,6,2,5
2021-01-18,NPAL,61.666666666666664,16.666666666666668,6,2,5
2021-01-18,TLAL,87.25,9.75,5,8,10
2021-01-18,TLAL,69.58333333333333,14.166666666666666,5,8,6
2021-01-17,NPAL,58.333333333333336,15,6,2,5
2021-01-17,TLAL,64.58333333333333,12.916666666666666,5,8,6
2021-01-17,TLAL,75.83333333333333,15.416666666666666,5,8,6
2021-01-17,TLAL,69.16666666666667,14.166666666666666,5,8,6
2021-01-17,NPAS,65,16.666666666666668,6,2,5
2021-01-17,TLK,53.333333333333336,17.916666666666668,6,10,4
2021-01-17,TLAL,77.5,15.833333333333334,5,8,6
2021-01-17,TLAL,65,13.333333333333334,5,8,6
2021-01-17,TLAS,67.03703703703704,13.703703703703704,5,9,6
2021-01-17,NPK,58.333333333333336,30.555555555555557,6,2,3
2021-01-16,TLAL,68.33333333333333,13.75,5,8,6
2021-01-16,TLAL,72.91666666666667,14.583333333333334,5,8,6
2021-01-16,TLAL,84.16666666666667,7.708333333333333,5,8,12
2021-01-16,TLAL,75.41666666666667,15.416666666666666,5,8,6
2021-01-16,TLAL,66.66666666666667,13.333333333333334,5,8,6
2021-01-16,TLAS,67.77777777777777,13.703703703703704,5,9,6
2021-01-16,TLAL,66.66666666666667,13.333333333333334,5,8,6
2021-01-15,TLAL,65,13.333333333333334,5,8,6
2021-01-15,TLAL,73.57142857142857,12.5,5,8,7
2021-01-15,TLAL,65.41666666666667,13.333333333333334,5,8,6
2021-01-15,TLAS,68.14814814814815,13.703703703703704,5,9,6
2021-01-15,TLAL,67.91666666666667,13.75,5,8,6
2021-01-15,TLAL,67.5,13.75,5,8,6
2021-01-15,NPAL,72.22222222222223,15.277777777777779,6,2,6
2021-01-15,TLAL,64.58333333333333,12.916666666666666,5,8,6
2021-01-15,TLAS,68.51851851851852,13.703703703703704,5,9,6
2021-01-15,NPAL,86.53846153846153,7.6923076923076925,6,2,13
2021-01-15,TLAL,68.75,13.75,5,8,6
2021-01-15,TLAL,67.5,13.75,5,8,6
2021-01-15,TLAL,68.33333333333333,13.75,5,8,6
2021-01-15,TLK,53.333333333333336,17.916666666666668,6,10,4
2021-01-15,TLAS,67.03703703703704,13.703703703703704,5,9,6
2021-01-15,TLAL,72.08333333333333,14.583333333333334,5,8,6
2021-01-14,TLAL,67.08333333333333,13.75,5,8,6
2021-01-14,TLAL,78.75,15.833333333333334,5,8,6
2021-01-14,TLAS,68.51851851851852,13.703703703703704,5,9,6
2021-01-14,TLAL,72.5,14.583333333333334,5,8,6
2021-01-14,NPAL,75,13.095238095238095,6,2,7
2021-01-14,TLAL,77.5,15.833333333333334,5,8,6
2021-01-14,TLAS,69.62962962962963,14.074074074074074,5,9,6
2021-01-14,TLAL,74.16666666666667,15,5,8,6
2021-01-14,TLAL,70.83333333333333,14.166666666666666,5,8,6
2021-01-14,TLAL,66.25,13.333333333333334,5,8,6
2021-01-14,TLAL,72.14285714285714,12.142857142857142,5,8,7
2021-01-14,NPAL,70,18.333333333333332,6,2,5
2021-01-14,TLAL,78.125,11.25,5,8,8
2021-01-14,TLAS,67.77777777777777,13.703703703703704,5,9,6
2021-01-14,TLAL,69.16666666666667,14.166666666666666,5,8,6
2021-01-13,TLAL,77.08333333333333,15.416666666666666,5,8,6
2021-01-13,TLK,52.5,17.5,6,10,4
2021-01-13,TLAL,78.75,15.833333333333334,5,8,6
2021-01-13,TLAL,70.41666666666667,14.166666666666666,5,8,6
2021-01-13,NPAL,85.25641025641026,7.6923076923076925,6,2,13
2021-01-13,TLAL,64.58333333333333,12.916666666666666,5,8,6
2021-01-13,NPAS,77.77777777777777,16.666666666666668,6,2,6
2021-01-13,TLAS,65.92592592592592,13.333333333333334,5,9,6
2021-01-13,TLAL,72.5,14.583333333333334,5,8,6
2021-01-13,TLAL,75,10.9375,5,8,8
2021-01-13,TLAL,67.5,13.75,5,8,6
2021-01-13,NPAL,75,20,6,2,5
2021-01-13,TLAL,77.91666666666667,15.833333333333334,5,8,6
2021-01-13,NPAS,78.70370370370371,10.185185185185185,6,2,9
2021-01-13,NPAL,89.88095238095238,7.142857142857143,6,2,14
2021-01-13,TLAL,64.58333333333333,12.916666666666666,5,8,6
2021-01-13,TLAS,62.592592592592595,12.592592592592593,5,9,6
2021-01-12,NPAL,77.38095238095238,13.095238095238095,6,2,7
2021-01-12,TLAL,65.41666666666667,13.333333333333334,5,8,6
2021-01-12,TLAL,67.5,13.75,5,8,6
2021-01-12,NPAL,78.33333333333333,20,6,2,5
2021-01-12,TLAS,66.29629629629629,13.333333333333334,5,9,6
2021-01-12,TLAL,64.58333333333333,12.916666666666666,5,8,6
2021-01-12,TLAL,77.91666666666667,15.833333333333334,5,8,6
2021-01-12,TLK,52.5,17.5,6,10,4
2021-01-12,TLAL,66.66666666666667,13.333333333333334,5,8,6
2021-01-12,TLAL,67.08333333333333,13.75,5,8,6
2021-01-12,NPAL,68.33333333333333,18.333333333333332,6,2,5
2021-01-12,TLAS,65.18518518518519,13.333333333333334,5,9,6
2021-01-12,TLAL,70,14.166666666666666,5,8,6
2021-01-12,TLAL,79.16666666666667,15.833333333333334,5,8,6
2021-01-12,TLAL,72.91666666666667,14.583333333333334,5,8,6
2021-01-12,NPAL,63.333333333333336,16.666666666666668,6,2,5
2021-01-12,TLAL,77.08333333333333,15.416666666666666,5,8,6
2021-01-12,TLAS,72.96296296296296,14.814814814814815,5,9,6
2021-01-12,TLAL,65,13.333333333333334,5,8,6
2021-01-11,TLAL,66.25,13.333333333333334,5,8,6
2021-01-11,TLAS,64.81481481481481,12.962962962962964,5,9,6
2021-01-11,TLAL,73.33333333333333,15,5,8,6
2021-01-11,NPAS,68.05555555555556,13.88888888888889,6,2,6
2021-01-11,TLAL,65.83333333333333,13.333333333333334,5,8,6
2021-01-11,TLK,52.5,17.5,6,10,4
2021-01-11,TLAL,78.75,15.833333333333334,5,8,6
2021-01-11,TLAS,70.74074074074075,14.444444444444445,5,9,6
2021-01-11,NPK,41.666666666666664,41.666666666666664,6,2,2
2021-01-11,TLAL,78.33333333333333,15.833333333333334,5,8,6
2021-01-11,NPAS,75,20,6,2,5
2021-01-11,NPAL,75,15.277777777777779,6,2,6
2021-01-11,TLAL,69.58333333333333,14.166666666666666,5,8,6
2021-01-11,TLAS,65.55555555555556,13.333333333333334,5,9,6
2021-01-11,TLAL,70.41666666666667,14.166666666666666,5,8,6
2021-01-11,TLAL,76.66666666666667,15.416666666666666,5,8,6
2021-01-11,NPAL,75,20,6,2,5
2021-01-11,TLAL,68.75,13.75,5,8,6
2021-01-11,NPAL,76.66666666666667,20,6,2,5
2021-01-11,TLAS,62.22222222222222,12.592592592592593,5,9,6
2021-01-11,NPAS,75,13.095238095238095,6,2,7
2021-01-11,TLAL,86.81818181818181,8.863636363636363,5,8,11
2021-01-11,TLAL,71.66666666666667,14.583333333333334,5,8,6
2021-01-10,TLAL,68.33333333333333,13.75,5,8,6
2021-01-10,TLAS,67.77777777777777,13.703703703703704,5,9,6
2021-01-10,TLK,53.333333333333336,17.916666666666668,6,10,4
2021-01-10,TLAL,74.58333333333333,15,5,8,6
2021-01-10,TLAL,70,14.166666666666666,5,8,6
2021-01-10,TLAS,62.592592592592595,12.592592592592593,5,9,6
2021-01-10,TLAL,85.57692307692308,7.3076923076923075,5,8,13
2021-01-10,TLAL,65.41666666666667,13.333333333333334,5,8,6
2021-01-09,TLAL,70,14.166666666666666,5,8,6
2021-01-09,TLAS,62.22222222222222,12.592592592592593,5,9,6
2021-01-09,TLAL,64.58333333333333,12.916666666666666,5,8,6
2021-01-09,TLAL,65.41666666666667,13.333333333333334,5,8,6
2021-01-09,TLAL,70.83333333333333,14.166666666666666,5,8,6
2021-01-09,TLAS,62.22222222222222,12.592592592592593,5,9,6
2021-01-09,TLK,52.916666666666664,17.916666666666668,6,10,4
2021-01-09,TLAL,66.66666666666667,13.333333333333334,5,8,6
2021-01-09,TLAL,64.58333333333333,12.916666666666666,5,8,6
2021-01-09,NPK,55.55555555555556,27.77777777777778,6,2,3
2021-01-09,TLAL,65,13.333333333333334,5,8,6
2021-01-08,TLAS,64.81481481481481,12.962962962962964,5,9,6
2021-01-08,TLAL,74.16666666666667,15,5,8,6
2021-01-08,NPAL,90.47619047619048,7.142857142857143,6,2,14
2021-01-08,TLAL,66.25,13.333333333333334,5,8,6
2021-01-08,TLAS,75.18518518518519,15.185185185185185,5,9,6
2021-01-08,TLAL,83.05555555555556,10.555555555555555,5,8,9
2021-01-08,TLAL,65.41666666666667,13.333333333333334,5,8,6
2021-01-08,TLAL,79.64285714285714,13.571428571428571,5,8,7
2021-01-08,TLAL,86.30952380952381,4.345238095238095,5,8,21
2021-01-08,TLAL,76.25,15.416666666666666,5,8,6
2021-01-08,TLAS,62.592592592592595,12.592592592592593,5,9,6
2021-01-08,NPAL,73.33333333333333,18.333333333333332,6,2,5
2021-01-08,TLAL,72.5,12.142857142857142,5,8,7
2021-01-07,TLAL,80.71428571428571,13.571428571428571,5,8,7
2021-01-07,TLK,52.916666666666664,17.916666666666668,6,10,4
2021-01-07,TLAS,63.333333333333336,12.962962962962964,5,9,6
2021-01-07,TLAL,67.5,13.75,5,8,6
2021-01-07,TLAL,65.41666666666667,13.333333333333334,5,8,6
2021-01-07,TLAL,70.35714285714286,11.785714285714286,5,8,7
2021-01-07,TLAL,90.41666666666667,8.333333333333334,5,8,12
2021-01-07,TLAS,80.63492063492063,13.65079365079365,5,9,7
2021-01-07,TLAL,75.625,10.9375,5,8,8
2021-01-07,TLAS,62.592592592592595,12.592592592592593,5,9,6
2021-01-07,NPAL,82.14285714285714,14.285714285714286,6,2,7
2021-01-07,TLAL,73.21428571428571,12.5,5,8,7
2021-01-07,TLAL,78.75,15.833333333333334,5,8,6
2021-01-07,NPAL,77.77777777777777,16.666666666666668,6,2,6
2021-01-07,TLAL,70.41666666666667,14.166666666666666,5,8,6
2021-01-07,NPAS,65,16.666666666666668,6,2,5
2021-01-07,NPAL,77.77777777777777,16.666666666666668,6,2,6
2021-01-07,TLAS,62.96296296296296,12.592592592592593,5,9,6
2021-01-07,TLAL,65,13.333333333333334,5,8,6
2021-01-06,TLAL,67.91666666666667,13.75,5,8,6
2021-01-06,TLK,52.916666666666664,17.916666666666668,6,10,4
2021-01-06,TLAL,64.58333333333333,12.916666666666666,5,8,6
2021-01-06,TLAS,73.70370370370371,14.814814814814815,5,9,6
2021-01-06,TLAL,68.33333333333333,13.75,5,8,6
2021-01-06,TLAL,67.91666666666667,13.75,5,8,6
2021-01-06,TLAL,72.5,14.583333333333334,5,8,6
2021-01-06,TLAS,67.03703703703704,13.703703703703704,5,9,6
2021-01-06,TLAL,70.41666666666667,14.166666666666666,5,8,6
2021-01-06,TLAL,72.5,14.583333333333334,5,8,6
2021-01-06,TLAL,73.33333333333333,15,5,8,6
2021-01-06,TLAL,65.83333333333333,13.333333333333334,5,8,6
2021-01-06,TLAS,64.07407407407408,12.962962962962964,5,9,6
2021-01-06,TLAL,70.83333333333333,14.166666666666666,5,8,6
2021-01-05,TLAS,62.592592592592595,12.592592592592593,5,9,6
2021-01-05,TLAL,67.91666666666667,13.75,5,8,6
2021-01-05,NPAL,92.6471,5.882352941176471,6,2,17
2021-01-05,NPAL,86.66666666666667,10,6,2,10
2021-01-05,NPAL,70,18.333333333333332,6,2,5
2021-01-05,TLAL,80.83333333333333,16.25,5,8,6
2021-01-05,TLAL,70,11.785714285714286,5,8,7
2021-01-05,TLAS,62.96296296296296,12.592592592592593,5,9,6
2021-01-05,TLK,55.416666666666664,18.75,6,10,4
2021-01-05,TLAL,66.66666666666667,13.333333333333334,5,8,6
2021-01-05,TLAL,65.83333333333333,13.333333333333334,5,8,6
2021-01-05,TLAS,62.96296296296296,12.592592592592593,5,9,6
2021-01-05,TLAL,79.0625,11.5625,5,8,8
2021-01-05,TLAL,77.5,13.214285714285714,5,8,7
2021-01-05,NPAL,63.333333333333336,16.666666666666668,6,2,5
2021-01-05,NPAS,63.333333333333336,16.666666666666668,6,2,5
2021-01-05,TLAL,70.41666666666667,14.166666666666666,5,8,6
2021-01-05,TLAS,63.333333333333336,12.962962962962964,5,9,6
2021-01-05,TLAL,67.08333333333333,13.75,5,8,6
2021-01-04,TLAL,71.25,14.583333333333334,5,8,6
2021-01-04,TLAS,64.07407407407408,12.962962962962964,5,9,6
2021-01-04,TLAL,75.83333333333333,15.416666666666666,5,8,6
2021-01-04,NPAL,90.27777777777777,8.333333333333334,6,2,12
2021-01-04,TLAL,70,14.166666666666666,5,8,6
2021-01-04,TLAL,73.57142857142857,12.5,5,8,7
2021-01-04,TLAS,67.03703703703704,13.703703703703704,5,9,6
2021-01-04,TLAL,67.08333333333333,13.75,5,8,6
2021-01-04,TLK,53.75,17.916666666666668,6,10,4
2021-01-04,TLAL,75.41666666666667,15.416666666666666,5,8,6
2021-01-04,TLAL,65.41666666666667,13.333333333333334,5,8,6
2021-01-04,NPAL,80.55555555555556,16.666666666666668,6,2,6
2021-01-04,TLAS,62.592592592592595,12.592592592592593,5,9,6
2021-01-04,NPAL,75,13.095238095238095,6,2,7
2021-01-04,NPAL,96.50537634408602,3.225806451612903,6,2,31
2021-01-04,NPAS,60,15,6,2,5
2021-01-04,TLAL,71.07142857142857,12.142857142857142,5,8,7
2021-01-04,TLAL,64.58333333333333,12.916666666666666,5,8,6
2021-01-03,TLAL,64.58333333333333,12.916666666666666,5,8,6
2021-01-03,TLAS,62.96296296296296,12.592592592592593,5,9,6
2021-01-03,TLAL,65,13.333333333333334,5,8,6
2021-01-03,TLAL,65,13.333333333333334,5,8,6
2021-01-03,TLAL,65,13.333333333333334,5,8,6
2021-01-03,TLK,52.916666666666664,17.916666666666668,6,10,4
2021-01-03,TLAS,62.22222222222222,12.592592592592593,5,9,6
2021-01-03,TLAL,65,13.333333333333334,5,8,6
2021-01-02,TLAL,65.41666666666667,13.333333333333334,5,8,6
2021-01-02,TLAL,64.58333333333333,12.916666666666666,5,8,6
2021-01-02,TLAS,62.96296296296296,12.592592592592593,5,9,6
2021-01-02,TLAL,67.5,13.75,5,8,6
2021-01-02,TLAL,76.25,10.9375,5,8,8
2021-01-01,TLAL,67.08333333333333,13.75,5,8,6
2021-01-01,TLAS,62.96296296296296,12.592592592592593,5,9,6
2021-01-01,TLAL,64.58333333333333,12.916666666666666,5,8,6
2021-01-01,NPK,41.666666666666664,41.666666666666664,6,2,2
2021-01-01,TLK,52.5,17.5,6,10,4
2021-01-01,TLAL,64.58333333333333,12.916666666666666,5,8,6
2020-12-31,TLAS,65.18518518518519,13.333333333333334,5,9,6
2020-12-31,TLAL,66.25,13.333333333333334,5,8,6
2020-12-31,TLAL,66.66666666666667,13.333333333333334,5,8,6
2020-12-31,TLAL,67.5,13.75,5,8,6
2020-12-31,TLAL,67.91666666666667,13.75,5,8,6
2020-12-31,TLAS,62.592592592592595,12.592592592592593,5,9,6
2020-12-30,TLAL,83.75,12.1875,5,8,8
2020-12-30,TLAL,64.58333333333333,12.916666666666666,5,8,6
2020-12-30,NPAS,60,15,6,2,5
2020-12-30,TLAS,67.77777777777777,13.703703703703704,5,9,6
2020-12-30,TLAL,67.91666666666667,13.75,5,8,6
2020-12-30,NPAL,75.26881720430107,2.6881720430107525,6,2,31
2020-12-30,NPAL,80.64516129032258,2.6881720430107525,6,2,31
2020-12-30,TLAL,77.5,15.833333333333334,5,8,6
2020-12-30,TLK,52.916666666666664,17.916666666666668,6,10,4
2020-12-30,NPAL,70.16129032258064,2.4193548387096775,6,2,31
2020-12-30,TLAL,69.16666666666667,14.166666666666666,5,8,6
2020-12-30,TLAL,69.58333333333333,14.166666666666666,5,8,6
2020-12-30,TLAS,62.96296296296296,12.592592592592593,5,9,6
2020-12-29,TLAL,68.75,13.75,5,8,6
2020-12-29,TLAL,78.33333333333333,15.833333333333334,5,8,6
2020-12-29,TLAS,64.44444444444444,12.962962962962964,5,9,6
2020-12-29,NPAS,69.44444444444444,13.88888888888889,6,2,6
2020-12-29,TLAL,69.16666666666667,14.166666666666666,5,8,6
2020-12-29,TLAL,66.66666666666667,13.333333333333334,5,8,6
2020-12-29,NPAS,66.66666666666667,16.666666666666668,6,2,5
2020-12-29,TLAL,65,13.333333333333334,5,8,6
2020-12-29,TLAS,62.96296296296296,12.592592592592593,5,9,6
2020-12-29,NPAS,69.44444444444444,13.88888888888889,6,2,6
2020-12-29,NPAS,88.97849462365592,3.225806451612903,6,2,31
2020-12-29,TLAL,75.83333333333333,15.416666666666666,5,8,6
2020-12-28,TLAL,77.91666666666667,15.833333333333334,5,8,6
2020-12-28,TLAS,65.92592592592592,13.333333333333334,5,9,6
2020-12-28,TLAL,82.1875,11.875,5,8,8
2020-12-28,TLAL,70.83333333333333,14.166666666666666,5,8,6
2020-12-28,TLK,53.75,17.916666666666668,6,10,4
2020-12-28,TLAL,64.58333333333333,12.916666666666666,5,8,6
2020-12-28,TLAL,68.75,13.75,5,8,6
2020-12-28,NPAL,66.66666666666667,16.666666666666668,6,2,5
2020-12-28,TLAS,62.592592592592595,12.592592592592593,5,9,6
2020-12-28,TLAL,65.41666666666667,13.333333333333334,5,8,6
2020-12-28,NPAL,70.83333333333333,15.277777777777779,6,2,6
2020-12-27,TLAL,65,13.333333333333334,5,8,6
2020-12-27,TLAL,69.16666666666667,14.166666666666666,5,8,6
